A,B,C,Livre,edge_AB,edge_AC,edge_BC,check,Clé_trio,Uniques?,Family_A,Color_A,Family_B,Color_B,Family_C,Color_C
Allspice,Chilli,Chocolate,mixed,Allspice|Chilli,Allspice|Chocolate,Chilli|Chocolate,TRUE,Allspice|Chilli|Chocolate,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Green & Grassy ; Light green,#a8b172
Allspice,Chilli,Lemon,mixed,Allspice|Chilli,Allspice|Lemon,Chilli|Lemon,TRUE,Allspice|Chilli|Lemon,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Roasted ; Caramel roasted,#f2748b
Allspice,Chilli,Orange,mixed,Allspice|Chilli,Allspice|Orange,Chilli|Orange,TRUE,Allspice|Chilli|Orange,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Citrussy ; Sour fruity,#f3d45b
Allspice,Chilli,Coconut,mixed,Allspice|Chilli,Allspice|Coconut,Chilli|Coconut,TRUE,Allspice|Chilli|Coconut,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Green & Grassy ; Light green,#a8b172
Allspice,Chilli,Ginger,mixed,Allspice|Chilli,Allspice|Ginger,Chilli|Ginger,TRUE,Allspice|Chilli|Ginger,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Creamy Fruity ; Creamy fruity,#f1bac6
Allspice,Chilli,Peppercorn,II,Allspice|Chilli,Allspice|Peppercorn,Chilli|Peppercorn,TRUE,Allspice|Chilli|Peppercorn,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Spicy woody,#745156
Allspice,Chilli,Lentil,II,Allspice|Chilli,Allspice|Lentil,Chilli|Lentil,TRUE,Allspice|Chilli|Lentil,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Leguminous,#43221c
Allspice,Chilli,Tomato,mixed,Allspice|Chilli,Allspice|Tomato,Chilli|Tomato,TRUE,Allspice|Chilli|Tomato,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Sulphurous ; Allium,#f8dc6a
Allspice,Bay Leaf,Cinnamon,II,Allspice|Bay Leaf,Allspice|Cinnamon,Bay Leaf|Cinnamon,TRUE,Allspice|Bay Leaf|Cinnamon,3,Spicy woody,#745156,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172
Allspice,Bay Leaf,Wholegrain Rice,II,Allspice|Bay Leaf,Allspice|Wholegrain Rice,Bay Leaf|Wholegrain Rice,TRUE,Allspice|Bay Leaf|Wholegrain Rice,3,Spicy woody,#745156,Spicy woody,#745156,Caramel roasted,#e0d78f
Allspice,Bay Leaf,Orange,II,Allspice|Bay Leaf,Allspice|Orange,Bay Leaf|Orange,TRUE,Allspice|Bay Leaf|Orange,3,Spicy woody,#745156,Spicy woody,#745156,Citrussy ; Sour fruity,#f3d45b
Allspice,Bay Leaf,Peppercorn,II,Allspice|Bay Leaf,Allspice|Peppercorn,Bay Leaf|Peppercorn,TRUE,Allspice|Bay Leaf|Peppercorn,3,Spicy woody,#745156,Spicy woody,#745156,Spicy woody,#745156
Allspice,Bay Leaf,Lentil,II,Allspice|Bay Leaf,Allspice|Lentil,Bay Leaf|Lentil,TRUE,Allspice|Bay Leaf|Lentil,3,Spicy woody,#745156,Spicy woody,#745156,Leguminous,#43221c
Allspice,Vanilla,Wholegrain Rice,II,Allspice|Vanilla,Allspice|Wholegrain Rice,Vanilla|Wholegrain Rice,TRUE,Allspice|Vanilla|Wholegrain Rice,3,Spicy woody,#745156,Sulphurous ; Allium,#f8dc6a,Caramel roasted,#e0d78f
Allspice,Pistachio,Vanilla,II,Allspice|Pistachio,Allspice|Vanilla,Pistachio|Vanilla,TRUE,Allspice|Pistachio|Vanilla,3,Spicy woody,#745156,Light green,#65904b,Sulphurous ; Allium,#f8dc6a
Allspice,Peppercorn,Vanilla,II,Allspice|Peppercorn,Allspice|Vanilla,Peppercorn|Vanilla,TRUE,Allspice|Peppercorn|Vanilla,3,Spicy woody,#745156,Spicy woody,#745156,Sulphurous ; Allium,#f8dc6a
Allspice,Peppercorn,Pistachio,II,Allspice|Peppercorn,Allspice|Pistachio,Peppercorn|Pistachio,TRUE,Allspice|Peppercorn|Pistachio,3,Spicy woody,#745156,Spicy woody,#745156,Light green,#65904b
Allspice,Peppercorn,Tomato,II,Allspice|Peppercorn,Allspice|Tomato,Peppercorn|Tomato,TRUE,Allspice|Peppercorn|Tomato,3,Spicy woody,#745156,Spicy woody,#745156,Sulphurous ; Allium,#f8dc6a
Allspice,Chocolate,Raisin,II,Allspice|Chocolate,Allspice|Raisin,Chocolate|Raisin,TRUE,Allspice|Chocolate|Raisin,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Dried fruit,#b3514b
Allspice,Chocolate,Cinnamon,mixed,Allspice|Chocolate,Allspice|Cinnamon,Chocolate|Cinnamon,TRUE,Allspice|Chocolate|Cinnamon,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Green & Grassy ; Light green,#a8b172
Allspice,Chocolate,Lemon,mixed,Allspice|Chocolate,Allspice|Lemon,Chocolate|Lemon,TRUE,Allspice|Chocolate|Lemon,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Roasted ; Caramel roasted,#f2748b
Allspice,Chocolate,Vanilla,mixed,Allspice|Chocolate,Allspice|Vanilla,Chocolate|Vanilla,TRUE,Allspice|Chocolate|Vanilla,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Sulphurous ; Allium,#f8dc6a
Allspice,Chocolate,Pistachio,II,Allspice|Chocolate,Allspice|Pistachio,Chocolate|Pistachio,TRUE,Allspice|Chocolate|Pistachio,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Light green,#65904b
Allspice,Chocolate,Orange,mixed,Allspice|Chocolate,Allspice|Orange,Chocolate|Orange,TRUE,Allspice|Chocolate|Orange,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Citrussy ; Sour fruity,#f3d45b
Allspice,Chocolate,Coconut,mixed,Allspice|Chocolate,Allspice|Coconut,Chocolate|Coconut,TRUE,Allspice|Chocolate|Coconut,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Green & Grassy ; Light green,#a8b172
Allspice,Chocolate,Ginger,mixed,Allspice|Chocolate,Allspice|Ginger,Chocolate|Ginger,TRUE,Allspice|Chocolate|Ginger,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Creamy Fruity ; Creamy fruity,#f1bac6
Allspice,Chocolate,Peppercorn,II,Allspice|Chocolate,Allspice|Peppercorn,Chocolate|Peppercorn,TRUE,Allspice|Chocolate|Peppercorn,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Spicy woody,#745156
Allspice,Chocolate,Tomato,mixed,Allspice|Chocolate,Allspice|Tomato,Chocolate|Tomato,TRUE,Allspice|Chocolate|Tomato,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Sulphurous ; Allium,#f8dc6a
Allspice,Cinnamon,Raisin,II,Allspice|Cinnamon,Allspice|Raisin,Cinnamon|Raisin,TRUE,Allspice|Cinnamon|Raisin,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Dried fruit,#b3514b
Allspice,Cinnamon,Orange,mixed,Allspice|Cinnamon,Allspice|Orange,Cinnamon|Orange,TRUE,Allspice|Cinnamon|Orange,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Citrussy ; Sour fruity,#f3d45b
Allspice,Cinnamon,Elderberry,II,Allspice|Cinnamon,Allspice|Elderberry,Cinnamon|Elderberry,TRUE,Allspice|Cinnamon|Elderberry,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Prunus,#b8382f
Allspice,Cinnamon,Coconut,mixed,Allspice|Cinnamon,Allspice|Coconut,Cinnamon|Coconut,TRUE,Allspice|Cinnamon|Coconut,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Green & Grassy ; Light green,#a8b172
Allspice,Cinnamon,Ginger,mixed,Allspice|Cinnamon,Allspice|Ginger,Cinnamon|Ginger,TRUE,Allspice|Cinnamon|Ginger,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Creamy Fruity ; Creamy fruity,#f1bac6
Allspice,Cinnamon,Peppercorn,II,Allspice|Cinnamon,Allspice|Peppercorn,Cinnamon|Peppercorn,TRUE,Allspice|Cinnamon|Peppercorn,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Spicy woody,#745156
Allspice,Cinnamon,Tomato,mixed,Allspice|Cinnamon,Allspice|Tomato,Cinnamon|Tomato,TRUE,Allspice|Cinnamon|Tomato,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Sulphurous ; Allium,#f8dc6a
Allspice,Orange,Raisin,II,Allspice|Orange,Allspice|Raisin,Orange|Raisin,TRUE,Allspice|Orange|Raisin,3,Spicy woody,#745156,Citrussy ; Sour fruity,#f3d45b,Dried fruit,#b3514b
Allspice,Orange,Vanilla,mixed,Allspice|Orange,Allspice|Vanilla,Orange|Vanilla,TRUE,Allspice|Orange|Vanilla,3,Spicy woody,#745156,Citrussy ; Sour fruity,#f3d45b,Sulphurous ; Allium,#f8dc6a
Allspice,Orange,Pistachio,II,Allspice|Orange,Allspice|Pistachio,Orange|Pistachio,TRUE,Allspice|Orange|Pistachio,3,Spicy woody,#745156,Citrussy ; Sour fruity,#f3d45b,Light green,#65904b
Allspice,Orange,Peppercorn,II,Allspice|Orange,Allspice|Peppercorn,Orange|Peppercorn,TRUE,Allspice|Orange|Peppercorn,3,Spicy woody,#745156,Citrussy ; Sour fruity,#f3d45b,Spicy woody,#745156
Allspice,Elderberry,Raisin,II,Allspice|Elderberry,Allspice|Raisin,Elderberry|Raisin,TRUE,Allspice|Elderberry|Raisin,3,Spicy woody,#745156,Prunus,#b8382f,Dried fruit,#b3514b
Allspice,Elderberry,Lemon,II,Allspice|Elderberry,Allspice|Lemon,Elderberry|Lemon,TRUE,Allspice|Elderberry|Lemon,3,Spicy woody,#745156,Prunus,#b8382f,Roasted ; Caramel roasted,#f2748b
Allspice,Elderberry,Ginger,II,Allspice|Elderberry,Allspice|Ginger,Elderberry|Ginger,TRUE,Allspice|Elderberry|Ginger,3,Spicy woody,#745156,Prunus,#b8382f,Creamy Fruity ; Creamy fruity,#f1bac6
Allspice,Coconut,Raisin,II,Allspice|Coconut,Allspice|Raisin,Coconut|Raisin,TRUE,Allspice|Coconut|Raisin,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Dried fruit,#b3514b
Allspice,Coconut,Wholegrain Rice,II,Allspice|Coconut,Allspice|Wholegrain Rice,Coconut|Wholegrain Rice,TRUE,Allspice|Coconut|Wholegrain Rice,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Caramel roasted,#e0d78f
Allspice,Coconut,Vanilla,mixed,Allspice|Coconut,Allspice|Vanilla,Coconut|Vanilla,TRUE,Allspice|Coconut|Vanilla,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Sulphurous ; Allium,#f8dc6a
Allspice,Coconut,Lemon,mixed,Allspice|Coconut,Allspice|Lemon,Coconut|Lemon,TRUE,Allspice|Coconut|Lemon,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Roasted ; Caramel roasted,#f2748b
Allspice,Coconut,Peppercorn,II,Allspice|Coconut,Allspice|Peppercorn,Coconut|Peppercorn,TRUE,Allspice|Coconut|Peppercorn,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Spicy woody,#745156
Allspice,Coconut,Lentil,II,Allspice|Coconut,Allspice|Lentil,Coconut|Lentil,TRUE,Allspice|Coconut|Lentil,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Leguminous,#43221c
Allspice,Lentil,Wholegrain Rice,II,Allspice|Lentil,Allspice|Wholegrain Rice,Lentil|Wholegrain Rice,TRUE,Allspice|Lentil|Wholegrain Rice,3,Spicy woody,#745156,Leguminous,#43221c,Caramel roasted,#e0d78f
Allspice,Lentil,Tomato,II,Allspice|Lentil,Allspice|Tomato,Lentil|Tomato,TRUE,Allspice|Lentil|Tomato,3,Spicy woody,#745156,Leguminous,#43221c,Sulphurous ; Allium,#f8dc6a
Allspice,Cauliflower,Chilli,mixed,Allspice|Cauliflower,Allspice|Chilli,Cauliflower|Chilli,TRUE,Allspice|Cauliflower|Chilli,3,Spicy woody,#745156,Earthy ; Dark green,#8b4b32,Green & Grassy ; Light green,#a8b172
Allspice,Cauliflower,Raisin,II,Allspice|Cauliflower,Allspice|Raisin,Cauliflower|Raisin,TRUE,Allspice|Cauliflower|Raisin,3,Spicy woody,#745156,Earthy ; Dark green,#8b4b32,Dried fruit,#b3514b
Allspice,Cauliflower,Chocolate,mixed,Allspice|Cauliflower,Allspice|Chocolate,Cauliflower|Chocolate,TRUE,Allspice|Cauliflower|Chocolate,3,Spicy woody,#745156,Earthy ; Dark green,#8b4b32,Green & Grassy ; Light green,#a8b172
Allspice,Cauliflower,Peppercorn,II,Allspice|Cauliflower,Allspice|Peppercorn,Cauliflower|Peppercorn,TRUE,Allspice|Cauliflower|Peppercorn,3,Spicy woody,#745156,Earthy ; Dark green,#8b4b32,Spicy woody,#745156
Allspice,Cauliflower,Lentil,II,Allspice|Cauliflower,Allspice|Lentil,Cauliflower|Lentil,TRUE,Allspice|Cauliflower|Lentil,3,Spicy woody,#745156,Earthy ; Dark green,#8b4b32,Leguminous,#43221c
Allspice,Raisin,Wholegrain Rice,II,Allspice|Raisin,Allspice|Wholegrain Rice,Raisin|Wholegrain Rice,TRUE,Allspice|Raisin|Wholegrain Rice,3,Spicy woody,#745156,Dried fruit,#b3514b,Caramel roasted,#e0d78f
Allspice,Raisin,Vanilla,II,Allspice|Raisin,Allspice|Vanilla,Raisin|Vanilla,TRUE,Allspice|Raisin|Vanilla,3,Spicy woody,#745156,Dried fruit,#b3514b,Sulphurous ; Allium,#f8dc6a
Allspice,Raisin,Spinach,II,Allspice|Raisin,Allspice|Spinach,Raisin|Spinach,TRUE,Allspice|Raisin|Spinach,3,Spicy woody,#745156,Dried fruit,#b3514b,Sulphurous ; Allium,#f8dc6a
Allspice,Broad Bean,Chilli,II,Allspice|Broad Bean,Allspice|Chilli,Broad Bean|Chilli,TRUE,Allspice|Broad Bean|Chilli,3,Spicy woody,#745156,Animalic,#69722f,Green & Grassy ; Light green,#a8b172
Allspice,Broad Bean,Wholegrain Rice,II,Allspice|Broad Bean,Allspice|Wholegrain Rice,Broad Bean|Wholegrain Rice,TRUE,Allspice|Broad Bean|Wholegrain Rice,3,Spicy woody,#745156,Animalic,#69722f,Caramel roasted,#e0d78f
Allspice,Ginger,Raisin,II,Allspice|Ginger,Allspice|Raisin,Ginger|Raisin,TRUE,Allspice|Ginger|Raisin,3,Spicy woody,#745156,Creamy Fruity ; Creamy fruity,#f1bac6,Dried fruit,#b3514b
Allspice,Ginger,Lemon,mixed,Allspice|Ginger,Allspice|Lemon,Ginger|Lemon,TRUE,Allspice|Ginger|Lemon,3,Spicy woody,#745156,Creamy Fruity ; Creamy fruity,#f1bac6,Roasted ; Caramel roasted,#f2748b
Allspice,Ginger,Vanilla,mixed,Allspice|Ginger,Allspice|Vanilla,Ginger|Vanilla,TRUE,Allspice|Ginger|Vanilla,3,Spicy woody,#745156,Creamy Fruity ; Creamy fruity,#f1bac6,Sulphurous ; Allium,#f8dc6a
Allspice,Ginger,Orange,mixed,Allspice|Ginger,Allspice|Orange,Ginger|Orange,TRUE,Allspice|Ginger|Orange,3,Spicy woody,#745156,Creamy Fruity ; Creamy fruity,#f1bac6,Citrussy ; Sour fruity,#f3d45b
Allspice,Ginger,Peppercorn,II,Allspice|Ginger,Allspice|Peppercorn,Ginger|Peppercorn,TRUE,Allspice|Ginger|Peppercorn,3,Spicy woody,#745156,Creamy Fruity ; Creamy fruity,#f1bac6,Spicy woody,#745156
Allspice,Ginger,Lentil,II,Allspice|Ginger,Allspice|Lentil,Ginger|Lentil,TRUE,Allspice|Ginger|Lentil,3,Spicy woody,#745156,Creamy Fruity ; Creamy fruity,#f1bac6,Leguminous,#43221c
Allspice,Ginger,Tomato,mixed,Allspice|Ginger,Allspice|Tomato,Ginger|Tomato,TRUE,Allspice|Ginger|Tomato,3,Spicy woody,#745156,Creamy Fruity ; Creamy fruity,#f1bac6,Sulphurous ; Allium,#f8dc6a
Allspice,Caraway,Orange,II,Allspice|Caraway,Allspice|Orange,Caraway|Orange,TRUE,Allspice|Caraway|Orange,3,Spicy woody,#745156,Herbal,#2c2921,Citrussy ; Sour fruity,#f3d45b
Allspice,Caraway,Raisin,II,Allspice|Caraway,Allspice|Raisin,Caraway|Raisin,TRUE,Allspice|Caraway|Raisin,3,Spicy woody,#745156,Herbal,#2c2921,Dried fruit,#b3514b
Allspice,Caraway,Cinnamon,II,Allspice|Caraway,Allspice|Cinnamon,Caraway|Cinnamon,TRUE,Allspice|Caraway|Cinnamon,3,Spicy woody,#745156,Herbal,#2c2921,Green & Grassy ; Light green,#a8b172
Allspice,Caraway,Ginger,II,Allspice|Caraway,Allspice|Ginger,Caraway|Ginger,TRUE,Allspice|Caraway|Ginger,3,Spicy woody,#745156,Herbal,#2c2921,Creamy Fruity ; Creamy fruity,#f1bac6
Allspice,Lemon,Raisin,II,Allspice|Lemon,Allspice|Raisin,Lemon|Raisin,TRUE,Allspice|Lemon|Raisin,3,Spicy woody,#745156,Roasted ; Caramel roasted,#f2748b,Dried fruit,#b3514b
Allspice,Lemon,Spinach,II,Allspice|Lemon,Allspice|Spinach,Lemon|Spinach,TRUE,Allspice|Lemon|Spinach,3,Spicy woody,#745156,Roasted ; Caramel roasted,#f2748b,Sulphurous ; Allium,#f8dc6a
Allspice,Lemon,Orange,mixed,Allspice|Lemon,Allspice|Orange,Lemon|Orange,TRUE,Allspice|Lemon|Orange,3,Spicy woody,#745156,Roasted ; Caramel roasted,#f2748b,Citrussy ; Sour fruity,#f3d45b
Allspice,Lemon,Pistachio,II,Allspice|Lemon,Allspice|Pistachio,Lemon|Pistachio,TRUE,Allspice|Lemon|Pistachio,3,Spicy woody,#745156,Roasted ; Caramel roasted,#f2748b,Light green,#65904b
Allspice,Lemon,Peppercorn,II,Allspice|Lemon,Allspice|Peppercorn,Lemon|Peppercorn,TRUE,Allspice|Lemon|Peppercorn,3,Spicy woody,#745156,Roasted ; Caramel roasted,#f2748b,Spicy woody,#745156
Allspice,Lemon,Tomato,mixed,Allspice|Lemon,Allspice|Tomato,Lemon|Tomato,TRUE,Allspice|Lemon|Tomato,3,Spicy woody,#745156,Roasted ; Caramel roasted,#f2748b,Sulphurous ; Allium,#f8dc6a
Allspice,Spinach,Wholegrain Rice,II,Allspice|Spinach,Allspice|Wholegrain Rice,Spinach|Wholegrain Rice,TRUE,Allspice|Spinach|Wholegrain Rice,3,Spicy woody,#745156,Sulphurous ; Allium,#f8dc6a,Caramel roasted,#e0d78f
Allspice,Spinach,Vanilla,II,Allspice|Spinach,Allspice|Vanilla,Spinach|Vanilla,TRUE,Allspice|Spinach|Vanilla,3,Spicy woody,#745156,Sulphurous ; Allium,#f8dc6a,Sulphurous ; Allium,#f8dc6a
Allspice,Tomato,Vanilla,mixed,Allspice|Tomato,Allspice|Vanilla,Tomato|Vanilla,TRUE,Allspice|Tomato|Vanilla,3,Spicy woody,#745156,Sulphurous ; Allium,#f8dc6a,Sulphurous ; Allium,#f8dc6a
Almond,Chilli,Fenugreek,mixed,Almond|Chilli,Almond|Fenugreek,Chilli|Fenugreek,TRUE,Almond|Chilli|Fenugreek,3,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172,Creamy Fruity ; Creamy fruity,#f1bac6
Almond,Chilli,Chocolate,I,Almond|Chilli,Almond|Chocolate,Chilli|Chocolate,TRUE,Almond|Chilli|Chocolate,3,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172,Green & Grassy ; Light green,#a8b172
Almond,Chilli,Orange,I,Almond|Chilli,Almond|Orange,Chilli|Orange,TRUE,Almond|Chilli|Orange,3,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172,Citrussy ; Sour fruity,#f3d45b
Almond,Chilli,Shellfish,I,Almond|Chilli,Almond|Shellfish,Chilli|Shellfish,TRUE,Almond|Chilli|Shellfish,3,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172,Marine,#35a8ad
Almond,Chilli,Coconut,I,Almond|Chilli,Almond|Coconut,Chilli|Coconut,TRUE,Almond|Chilli|Coconut,3,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172,Green & Grassy ; Light green,#a8b172
Almond,Chilli,Oily Fish,I,Almond|Chilli,Almond|Oily Fish,Chilli|Oily Fish,TRUE,Almond|Chilli|Oily Fish,3,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172,Citrussy ; Sour fruity,#f3d45b
Almond,Chilli,Ginger,I,Almond|Chilli,Almond|Ginger,Chilli|Ginger,TRUE,Almond|Chilli|Ginger,3,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172,Creamy Fruity ; Creamy fruity,#f1bac6
Almond,Chilli,Hard Cheese,I,Almond|Chilli,Almond|Hard Cheese,Chilli|Hard Cheese,TRUE,Almond|Chilli|Hard Cheese,3,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172,Cheesy,#f7e596
Almond,Chilli,Garlic,I,Almond|Chilli,Almond|Garlic,Chilli|Garlic,TRUE,Almond|Chilli|Garlic,3,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172,Creamy Fruity ; Creamy fruity,#f1bac6
Almond,Chilli,Green Bean,mixed,Almond|Chilli,Almond|Green Bean,Chilli|Green Bean,TRUE,Almond|Chilli|Green Bean,3,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172,Dark green,#2f3f33
Almond,Chilli,Olive,I,Almond|Chilli,Almond|Olive,Chilli|Olive,TRUE,Almond|Chilli|Olive,3,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172,Citrussy ; Sour fruity,#f3d45b
Almond,Chilli,Lemon,I,Almond|Chilli,Almond|Lemon,Chilli|Lemon,TRUE,Almond|Chilli|Lemon,3,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172,Roasted ; Caramel roasted,#f2748b
Almond,Chilli,Kale,mixed,Almond|Chilli,Almond|Kale,Chilli|Kale,TRUE,Almond|Chilli|Kale,3,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172,Roasted ; Caramel roasted,#f2748b
Almond,Cashew,Chilli,mixed,Almond|Cashew,Almond|Chilli,Cashew|Chilli,TRUE,Almond|Cashew|Chilli,3,Woodland ; Prunus,#807643,Earthy ; Dark green,#8b4b32,Green & Grassy ; Light green,#a8b172
Almond,Cashew,Raisin,II,Almond|Cashew,Almond|Raisin,Cashew|Raisin,TRUE,Almond|Cashew|Raisin,3,Woodland ; Prunus,#807643,Earthy ; Dark green,#8b4b32,Dried fruit,#b3514b
Almond,Cashew,Fenugreek,II,Almond|Cashew,Almond|Fenugreek,Cashew|Fenugreek,TRUE,Almond|Cashew|Fenugreek,3,Woodland ; Prunus,#807643,Earthy ; Dark green,#8b4b32,Creamy Fruity ; Creamy fruity,#f1bac6
Almond,Cashew,Orange,mixed,Almond|Cashew,Almond|Orange,Cashew|Orange,TRUE,Almond|Cashew|Orange,3,Woodland ; Prunus,#807643,Earthy ; Dark green,#8b4b32,Citrussy ; Sour fruity,#f3d45b
Almond,Cashew,Honey,II,Almond|Cashew,Almond|Honey,Cashew|Honey,TRUE,Almond|Cashew|Honey,3,Woodland ; Prunus,#807643,Earthy ; Dark green,#8b4b32,Flower & meadow,#e78538
Almond,Cashew,Kale,II,Almond|Cashew,Almond|Kale,Cashew|Kale,TRUE,Almond|Cashew|Kale,3,Woodland ; Prunus,#807643,Earthy ; Dark green,#8b4b32,Roasted ; Caramel roasted,#f2748b
Almond,Cashew,Coconut,mixed,Almond|Cashew,Almond|Coconut,Cashew|Coconut,TRUE,Almond|Cashew|Coconut,3,Woodland ; Prunus,#807643,Earthy ; Dark green,#8b4b32,Green & Grassy ; Light green,#a8b172
Almond,Cashew,Garlic,mixed,Almond|Cashew,Almond|Garlic,Cashew|Garlic,TRUE,Almond|Cashew|Garlic,3,Woodland ; Prunus,#807643,Earthy ; Dark green,#8b4b32,Creamy Fruity ; Creamy fruity,#f1bac6
Almond,Fenugreek,Honey,II,Almond|Fenugreek,Almond|Honey,Fenugreek|Honey,TRUE,Almond|Fenugreek|Honey,3,Woodland ; Prunus,#807643,Creamy Fruity ; Creamy fruity,#f1bac6,Flower & meadow,#e78538
Almond,Fenugreek,Garlic,mixed,Almond|Fenugreek,Almond|Garlic,Fenugreek|Garlic,TRUE,Almond|Fenugreek|Garlic,3,Woodland ; Prunus,#807643,Creamy Fruity ; Creamy fruity,#f1bac6,Creamy Fruity ; Creamy fruity,#f1bac6
Almond,Pistachio,Plum,II,Almond|Pistachio,Almond|Plum,Pistachio|Plum,TRUE,Almond|Pistachio|Plum,3,Woodland ; Prunus,#807643,Light green,#65904b,Prunus,#b8382f
Almond,Honey,Quince,II,Almond|Honey,Almond|Quince,Honey|Quince,TRUE,Almond|Honey|Quince,3,Woodland ; Prunus,#807643,Flower & meadow,#e78538,Sour fruity,#f7cf4c
Almond,Honey,Poppy Seed,II,Almond|Honey,Almond|Poppy Seed,Honey|Poppy Seed,TRUE,Almond|Honey|Poppy Seed,3,Woodland ; Prunus,#807643,Flower & meadow,#e78538,Sulphurous ; Cruciferous,#f8dc6a
Almond,Honey,Lemon,mixed,Almond|Honey,Almond|Lemon,Honey|Lemon,TRUE,Almond|Honey|Lemon,3,Woodland ; Prunus,#807643,Flower & meadow,#e78538,Roasted ; Caramel roasted,#f2748b
Almond,Honey,Pistachio,II,Almond|Honey,Almond|Pistachio,Honey|Pistachio,TRUE,Almond|Honey|Pistachio,3,Woodland ; Prunus,#807643,Flower & meadow,#e78538,Light green,#65904b
Almond,Honey,Orange,mixed,Almond|Honey,Almond|Orange,Honey|Orange,TRUE,Almond|Honey|Orange,3,Woodland ; Prunus,#807643,Flower & meadow,#e78538,Citrussy ; Sour fruity,#f3d45b
Almond,Anise,Chilli,I,Almond|Anise,Almond|Chilli,Anise|Chilli,TRUE,Almond|Anise|Chilli,3,Woodland ; Prunus,#807643,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172
Almond,Anise,Blackcurrant,I,Almond|Anise,Almond|Blackcurrant,Anise|Blackcurrant,TRUE,Almond|Anise|Blackcurrant,3,Woodland ; Prunus,#807643,Woodland ; Prunus,#807643,Bramble & Hedge,#894348
Almond,Anise,Strawberry,I,Almond|Anise,Almond|Strawberry,Anise|Strawberry,TRUE,Almond|Anise|Strawberry,3,Woodland ; Prunus,#807643,Woodland ; Prunus,#807643,Sulphurous ; Allium,#f8dc6a
Almond,Anise,Chicken,I,Almond|Anise,Almond|Chicken,Anise|Chicken,TRUE,Almond|Anise|Chicken,3,Woodland ; Prunus,#807643,Woodland ; Prunus,#807643,Meaty,#b9656c
Almond,Anise,Cinnamon,I,Almond|Anise,Almond|Cinnamon,Anise|Cinnamon,TRUE,Almond|Anise|Cinnamon,3,Woodland ; Prunus,#807643,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172
Almond,Anise,Chocolate,I,Almond|Anise,Almond|Chocolate,Anise|Chocolate,TRUE,Almond|Anise|Chocolate,3,Woodland ; Prunus,#807643,Woodland ; Prunus,#807643,Green & Grassy ; Light green,#a8b172
Almond,Anise,Orange,I,Almond|Anise,Almond|Orange,Anise|Orange,TRUE,Almond|Anise|Orange,3,Woodland ; Prunus,#807643,Woodland ; Prunus,#807643,Citrussy ; Sour fruity,#f3d45b
